region,year,period,sensor,ndvi,evi,n_pixels,n_parts
Орловская область,2018,18,viirs,0.7190255076435434,0.4557880638568557,103026,1
Орловская область,2018,19,viirs,0.7378354834253154,0.4857832815140239,103012,1
Орловская область,2018,20,viirs,0.7453174659526469,0.5057581160385008,102871,1
Орловская область,2018,21,viirs,0.7527135997424534,0.5033601394724486,103050,1
Орловская область,2018,22,viirs,0.7442281161518919,0.49801528422541264,103003,1
Орловская область,2018,23,viirs,0.7204232348233842,0.4775170810329049,74847,1
Орловская область,2018,24,viirs,0.6748798770764501,0.4512635738075105,25731,1
Орловская область,2018,25,viirs,0.607298482188723,0.39609246387071145,19150,1
Орловская область,2018,26,viirs,0.6336301828868954,0.42214282965370237,92794,1
Орловская область,2018,27,viirs,0.6488306895630707,0.4279172915987438,100386,1
Орловская область,2018,28,viirs,0.6325138225777249,0.4034406184239729,102794,1
Орловская область,2018,29,viirs,0.6207271838201701,0.3919981880501422,103059,1
Орловская область,2018,30,viirs,0.5930416096234024,0.366324391282165,103059,1
Орловская область,2018,31,viirs,0.5166399346725666,0.31041621635103456,101518,1
Орловская область,2018,32,viirs,0.5027875363253517,0.2724667540673466,103009,1
Орловская область,2018,33,viirs,0.4904301778494457,0.25018297306959203,102883,1
Орловская область,2018,34,viirs,0.4825602010534231,0.211844484281718,103032,1
Орловская область,2018,35,viirs,0.5146399022002696,0.23717898953054076,103059,1
Орловская область,2019,13,viirs,0.3664867012313351,0.14307619979460484,73533,1
Орловская область,2019,14,viirs,0.39445789425799294,0.17939443418508802,98941,1
Орловская область,2019,15,viirs,0.4175803415594123,0.2147526757638725,65375,1
Орловская область,2019,16,viirs,0.5094585407652142,0.25157093865864993,21898,1
Орловская область,2019,17,viirs,0.6986162807781245,0.4303146517853764,103048,1
Орловская область,2019,18,viirs,0.722968214984373,0.46745979839954604,103050,1
Орловская область,2019,19,viirs,0.7742911243284338,0.5430543259968752,100463,1
Орловская область,2019,20,viirs,0.8018855508191539,0.5631983999271213,103018,1
Орловская область,2019,21,viirs,0.814219038644842,0.5756242057327101,103025,1
Орловская область,2019,22,viirs,0.783772124277334,0.538402063618566,95567,1
Орловская область,2019,23,viirs,0.6838413621142735,0.49116481730802747,41995,1
Орловская область,2019,24,viirs,0.6302475242619648,0.4393922553135698,27007,1
Орловская область,2019,25,viirs,0.5699770409814084,0.38218669471685435,44358,1
Орловская область,2019,26,viirs,0.5561602813988067,0.36828463130021216,42858,1
