region,year,month,t2m_c,swvl1_m3m3,ssrd_mj_m2,tp_mm,pev_mm
Приморский край,2011,7,19.92670200145625,0.3395477605491765,566.1936041553294,100.77845556242465,337.47404118192725
Приморский край,2011,8,19.585417207167268,0.34427559867413465,493.52888336797,111.0481879779651,311.87585617570744
Приморский край,2011,9,12.851918341172336,0.352711894643709,430.2232139582218,123.75651208766655,357.45744278677404
Приморский край,2012,4,2.654941513478377,0.37479273546297537,556.0711461917515,67.62301546135387,416.7312144810143
Приморский край,2012,5,10.585023469930036,0.3669193392458866,588.4727854740224,71.94520618597441,368.5763810143218
Приморский край,2012,6,15.567567872924485,0.34553641435227805,574.8799768505623,90.89100126094266,332.97273198199514
Приморский край,2012,7,18.659047639721166,0.35799316013951193,491.5126570166042,129.35098383641025,294.7002434808747
Приморский край,2012,8,18.90323115605753,0.37355015350652365,486.38506012426353,173.0948839158051,315.78137039196446
Приморский край,2012,9,15.091893668192654,0.3755640848218022,347.27116253347623,135.31994517048574,259.1854913322824
Приморский край,2013,4,0.7499139002190987,0.3648863896112999,537.3591658810926,61.36421399601561,330.7925723592866
Приморский край,2013,5,10.113117818316482,0.38704328736201543,560.6284472276379,87.74103775544887,365.62107916448485
Приморский край,2013,6,17.00439233437669,0.3399085692051712,616.5062556186396,77.64486715334245,389.08092890694996
Приморский край,2013,7,19.332630970264802,0.37203040426915257,467.3300443492234,219.24668399918372,294.400940377347
Приморский край,2013,8,19.10915834644487,0.387425108522927,436.94002578682375,181.17158856177048,255.96606964070847
Приморский край,2013,9,13.249198690454307,0.3616443995683667,462.42452730048205,62.39301968020715,371.0061943444838
Приморский край,2014,4,5.008092365969844,0.3481630755415816,623.4754163685056,22.076905857366082,534.585907867744
Приморский край,2014,5,10.604631610496483,0.3689834521170536,569.7299469384038,114.9134701853653,416.95050826973625
Приморский край,2014,6,16.69233314747089,0.3498362136129779,533.7282309480449,87.8096099251539,330.15366338380977
Приморский край,2014,7,19.632028059303025,0.35620007670749365,580.7478243749331,128.2073783432096,353.274904638449
Приморский край,2014,8,18.63673930645757,0.346444708686751,529.0968157579005,98.36015585742852,337.6789721468265
Приморский край,2014,9,13.063056828928438,0.36485729411635476,425.734550487413,110.5161054156138,328.8848166581967
Приморский край,2015,4,3.684642537979755,0.3852417531598361,588.081761006963,63.14959635196856,417.91163971542863
Приморский край,2015,5,9.736132263281718,0.3803436736978818,564.6380163181574,115.00959245825509,422.43863370650644
Приморский край,2015,6,15.239310145161028,0.3671949618502486,577.0827975682914,125.32426257596322,338.3778499356552
Приморский край,2015,7,18.986057072676772,0.36305640557263075,568.196741300482,151.8237587255558,338.7944202812266
Приморский край,2015,8,18.873776838469155,0.3679143479627661,432.0487757836101,142.30340688320274,276.3043502729783
Приморский край,2015,9,13.90997751866297,0.3473088448866204,455.12921347616503,82.1618775634597,347.15403436050093
Приморский край,2016,4,2.7314941798549057,0.3891968688801386,504.9684571397965,97.05296017595703,363.1339295022489
Приморский край,2016,5,10.946436331472626,0.3786025780308483,571.8778942988753,127.41655562632684,435.6384091099188
Приморский край,2016,6,14.327325128883274,0.37670422775195,515.3660753186931,110.08081309338728,289.4101643871993
Приморский край,2016,7,19.372714754828962,0.36235464838780884,516.756224244242,116.01140587604351,297.8534632560462
Приморский край,2016,8,19.579912470289912,0.37316503049730937,491.9773268259239,238.24576419954255,330.6603809378654
Приморский край,2016,9,13.97888441203304,0.3796413934479822,363.6444925227638,122.89223940838495,274.779727761287
Приморский край,2017,4,3.970306046684641,0.38441785210648766,542.5154621424745,61.53943435771338,423.17337705192557
Приморский край,2017,5,11.508573716607543,0.3553366188576468,638.9261402238886,71.52734768123482,536.6981914960322
Приморский край,2017,6,14.529658992953273,0.3711956741341181,549.4240377718264,137.50551363579723,321.66059687135044
Приморский край,2017,7,20.715478123326193,0.357962029594499,615.9825929737547,143.4159428323644,392.03389065193505
Приморский край,2017,8,18.060813664342902,0.33977949472436564,476.6314528152116,80.35071073585087,353.8469345566737
Приморский край,2017,9,13.214292465561414,0.34040360943672165,446.55119607927156,69.64015305992795,373.77279405454675
Приморский край,2018,4,4.522003412476579,0.3756397903189023,580.2383256989823,44.474408263901786,492.386975862888
Приморский край,2018,5,10.63000745890804,0.36682455004634357,604.5939755950724,102.73372267692659,420.6283512556687
Приморский край,2018,6,14.938258993580973,0.3427159820703753,562.2322524263524,89.55098415241564,371.35586729168443
Приморский край,2018,7,20.243140158426,0.3655076192928369,538.3583836946974,152.53331738334086,318.1933753858867
Приморский край,2018,8,17.812454388725257,0.36933721574028355,423.4148878435994,181.80718637328698,288.19462180488813
Приморский край,2018,9,13.067099598913728,0.3604967457506193,458.70425596679166,133.10730988376767,356.94892665378285
Приморский край,2019,4,4.157529770248914,0.3620815266883495,591.7646668666309,26.952555553012903,503.2840601393547
Приморский край,2019,5,12.015968810675588,0.3334224233029677,666.6998025881092,93.78302316333506,557.6771192120945
Приморский край,2019,6,14.170683614672612,0.3657203188029342,529.984579539368,126.40354324563195,304.8599196122047
Приморский край,2019,7,19.04990566521326,0.3631068731797335,499.523513697911,101.10646465106856,275.53687911893695
Приморский край,2019,8,17.862028404525972,0.38914662194111543,361.97875838350296,240.24427881146107,219.06666784887972
Приморский край,2019,9,13.871529620129252,0.3562392003407246,481.1905324531334,48.34608486444496,392.5441247802657
Приморский край,2020,4,2.539701172267314,0.3895968992440664,561.4218576861274,72.93764502184199,381.32882670533803
Приморский край,2020,5,10.46010624497859,0.3724550350375142,607.4083992779861,82.47620545691937,437.15359666447114
Приморский край,2020,6,14.308771618279707,0.381416586419766,425.64219592929834,163.34214574000416,251.4768090951104
Приморский край,2020,7,19.25438082694501,0.3457227562861961,596.8125565388324,67.20480366386015,343.43351224206896
Приморский край,2020,8,18.86337516633472,0.3802820582663113,403.36729922442424,251.721580822348,266.02963024144765
Приморский край,2020,9,14.482533444781097,0.3820717336024329,338.63799163899307,111.37332562352198,265.0004602573617
Приморский край,2021,4,4.22765102457987,0.37339272726393025,597.5838550830209,33.616220843432004,508.78445876749305
Приморский край,2021,5,10.924458313805587,0.35959532481818257,614.165479174076,92.13551370842042,454.4711737715438
Приморский край,2021,6,16.287537660685587,0.3505146698831682,617.50348505624,113.33715486134207,378.33945938432413
Приморский край,2021,7,22.231613242543233,0.3025507873306315,586.0703266191753,55.203059867915336,363.06905350186446
Приморский край,2021,8,19.025232162434747,0.3291651721171791,499.8537449919657,114.72097396936385,367.4022697299383
Приморский край,2021,9,14.554641627192723,0.34272123723982745,408.4401768559186,95.42566050446617,300.82044363756137
Приморский край,2022,4,4.540591363646399,0.37740447295178176,599.0276960471344,49.9791051025428,495.60936320479306
Приморский край,2022,5,10.67126905526078,0.36200672020935154,624.0757275072308,93.88666244445196,458.1835663288305
Приморский край,2022,6,14.653896494836317,0.3676161926956054,524.2844026245314,143.02912949503113,299.4103325869096
Приморский край,2022,7,19.90632456292684,0.37980619163901397,482.1931297396893,145.38619284081335,266.3130653362639
Приморский край,2022,8,18.72250066429268,0.36922430723953453,522.7916478510979,132.82405112605156,358.0876683280566
Приморский край,2022,9,14.22924807302826,0.36527654712188673,348.3380636689877,80.56814146931988,277.0174989086712
Приморский край,2023,4,4.00393388418189,0.38063060758454825,394.9246312801285,34.30610876238592,330.3308774386425
Приморский край,2023,5,11.475692538162832,0.3529516709444672,481.9597175061596,30.54045039473773,384.8010191607105
Приморский край,2023,6,16.457379768261262,0.35375625945440126,408.29635812533473,68.38817860145247,258.60609306121296
Приморский край,2023,7,20.3366373872272,0.36986789795314173,394.322785616497,76.30883258067563,236.54036367352978
Приморский край,2023,8,19.57094739639132,0.3947758401340511,265.39593924477776,200.5856817762303,164.8212047318724
Приморский край,2023,9,15.59287480751209,0.3260954339426344,363.68218234065347,21.3301268967525,283.52521218251724
Приморский край,2024,4,5.96083426983779,0.375516469553951,559.5896634600964,43.035454564963786,412.69924573452636
Приморский край,2024,5,10.233612920335133,0.3665359161981747,555.7953947016604,101.8568808341326,453.187010132762
Приморский край,2024,6,14.643358825781718,0.392093791256758,474.73493000535615,187.18042146278836,268.7580562254038
Приморский край,2024,7,20.07893891541414,0.3741133965204665,503.176717647563,180.04951127004188,295.43644970808685
Приморский край,2024,8,20.106006879351924,0.3813658817987999,423.3949039517943,174.09315345316014,261.1040553236685
Приморский край,2024,9,14.177409577740036,0.3429532901577983,452.6461418693091,55.86012540560717,383.61116784839754
Приморский край,2025,4,4.782273778930744,0.3892582963351968,508.56500811997864,69.9266229544671,326.9286548901384
Приморский край,2025,5,11.43198875096249,0.37365840345892476,654.4676849062669,101.1538826084801,442.5642471830348
Приморский край,2025,6,18.079523571404707,0.3576463434743447,608.8634111087306,107.14056724547764,384.9622505469059
Приморский край,2025,7,22.508850287267364,0.3243778353396366,584.3701678993036,97.00654111301249,410.2370558485157
Приморский край,2025,8,19.814923125125574,0.36630745117972097,480.3144323063739,197.05584306750262,327.6228118003468
Приморский край,2025,9,15.746453383394169,0.3417917342510336,465.4269698660953,42.544722262880676,382.18205422562073
Приморский край,2026,4,3.8363828016464367,0.3872665217296925,516.5339746438136,87.81925396059441,379.7330994639859
Приморский край,2026,5,12.172000169473108,0.3461013409819396,612.8120460396358,69.48530825875582,499.22970286508126
Приморский край,2026,6,15.225948186219568,0.37068833370035065,545.2258963577933,115.1083152911795,307.81690037276053
Приморский край,2026,7,20.432762233446056,0.3685002380599935,485.18098405998927,175.38885929086507,283.2731462907331
Псковская область,2000,4,9.220028248454469,0.37536823562603666,384.812368588661,59.227204300374446,128.66684877110333
