horizon_k,horizon_label,model_id,n,mae,rmse,r2,bias,mape
6,периоды 1–6 из 23,seasonal_within,531,4.126358713916702,5.545326214971525,0.8107032778970609,0.3738924608662581,16.414273957159704
6,периоды 1–6 из 23,midas_beta,531,4.1244445118089255,5.591444741523142,0.807541556443486,0.3581497144418101,16.26019447951458
6,периоды 1–6 из 23,midas_almon,531,4.177591198167606,5.617681879929101,0.8057311456251657,0.3156349837636655,16.506593144343455
6,периоды 1–6 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
7,периоды 1–7 из 23,midas_umidas,531,4.0350739518432075,5.43432093033921,0.8182060357976217,0.36484106180194803,16.041212619886153
7,периоды 1–7 из 23,midas_beta,531,4.0146246464401365,5.462538627510902,0.816313204899262,0.3130760616474139,15.998134962217902
7,периоды 1–7 из 23,midas_almon,531,4.020387897946292,5.467994939391798,0.8159460668098728,0.28648934770083323,16.006517292459307
7,периоды 1–7 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
7,периоды 1–7 из 23,seasonal_within,531,4.086188419039983,5.520411582204082,0.8124004416990778,0.33652500117671286,16.248620200641586
7,периоды 1–7 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
8,периоды 1–8 из 23,midas_umidas,531,3.996149763728365,5.401893515278179,0.8203691468492231,0.3057515673780837,15.820915659536073
8,периоды 1–8 из 23,midas_almon,531,4.013768688824947,5.458982296724213,0.8165523019209254,0.2587765340078065,15.866670964151583
8,периоды 1–8 из 23,midas_beta,531,4.029711935728036,5.470838898040357,0.8157545604516768,0.29768020480877944,15.90180925443738
8,периоды 1–8 из 23,seasonal_within,531,4.053937806929785,5.495243449447681,0.814107114305916,0.34921813450121497,16.134462422182967
8,периоды 1–8 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
8,периоды 1–8 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
9,периоды 1–9 из 23,midas_umidas,531,3.903834982927409,5.307738266337963,0.8265765216647658,0.3416304712558904,15.425760391676613
9,периоды 1–9 из 23,midas_almon,531,3.9380979832266583,5.380084398043815,0.8218166696711493,0.3273882113793492,15.488881767516386
9,периоды 1–9 из 23,midas_beta,531,3.95900015812527,5.39391507780635,0.8208993739439623,0.26157910475500334,15.59562959723167
9,периоды 1–9 из 23,seasonal_within,531,4.0075723241947525,5.456928230798099,0.8166903286640161,0.36428246184503743,15.933852025447774
9,периоды 1–9 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
9,периоды 1–9 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
10,периоды 1–10 из 23,midas_umidas,531,3.801788472554031,5.274644308029896,0.8287323842143802,0.38296696300545285,14.954753931052656
10,периоды 1–10 из 23,midas_beta,531,3.822871050390698,5.315144664649275,0.8260921950283201,0.3266079141168415,15.012711486677278
10,периоды 1–10 из 23,midas_almon,531,3.8437812634933297,5.342589001567064,0.8242916395796693,0.3466936724114325,15.093448644933686
10,периоды 1–10 из 23,seasonal_within,531,3.938486572652971,5.401855535527272,0.8203716727453946,0.3875020644527511,15.63849703640878
10,периоды 1–10 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
10,периоды 1–10 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
11,периоды 1–11 из 23,midas_beta,531,3.5288875078248023,5.069502373689099,0.8417952363622341,0.27416156672562003,13.776472055221541
11,периоды 1–11 из 23,midas_almon,531,3.595322587845252,5.128241101742238,0.8381078595888637,0.23513425024412116,14.018536835563546
11,периоды 1–11 из 23,midas_umidas,531,3.6025046027119703,5.141738835672471,0.8372545249934107,0.3265845850666795,14.135072251527808
11,периоды 1–11 из 23,seasonal_within,531,3.8362786533543276,5.323285489196034,0.8255590629235844,0.40843236300750824,15.189874574530146
11,периоды 1–11 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
11,периоды 1–11 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
12,периоды 1–12 из 23,midas_umidas,531,3.6432670108603205,5.141211236347452,0.8372879222546051,0.41111700249719263,14.221392437115407
12,периоды 1–12 из 23,midas_almon,531,3.690992481461102,5.232010077028533,0.8314898604299105,0.4599067990124143,14.461033957019486
12,периоды 1–12 из 23,midas_beta,531,3.700919000524471,5.243478691190049,0.8307502992063399,0.4291746362442451,14.49536291266878
12,периоды 1–12 из 23,seasonal_within,531,3.7575879631875937,5.257687047134455,0.829831818080895,0.4408903570280778,14.864096704918515
12,периоды 1–12 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
12,периоды 1–12 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
13,периоды 1–13 из 23,midas_beta,531,3.5318015506523497,4.999654058648621,0.8461247380850355,0.38447352068152146,13.876702365511093
13,периоды 1–13 из 23,midas_umidas,531,3.6069916787419922,5.034651645307545,0.8439629440191141,0.5342248330976572,14.155364839589376
13,периоды 1–13 из 23,midas_almon,531,3.569394025271033,5.07647209813716,0.8413599267386946,0.4706665884668474,14.014965798510042
13,периоды 1–13 из 23,seasonal_within,531,3.6708307947189414,5.16196105805819,0.8359718666877581,0.46484909022008936,14.52670615848724
13,периоды 1–13 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
13,периоды 1–13 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
14,периоды 1–14 из 23,midas_beta,531,3.476462124147754,4.904456376209005,0.8519287827346657,0.5114672369690254,13.678889583321213
14,периоды 1–14 из 23,midas_umidas,531,3.535600238229763,4.921098175156871,0.8509222075096098,0.6505177527791627,13.988333256322727
14,периоды 1–14 из 23,midas_almon,531,3.523433376216906,4.936940346436835,0.8499608296635657,0.5427607927010262,13.821140487977754
14,периоды 1–14 из 23,seasonal_within,531,3.591890635353692,5.064018926713871,0.8421372968633755,0.5042574047976622,14.220455214919703
14,периоды 1–14 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
14,периоды 1–14 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
15,периоды 1–15 из 23,midas_beta,531,3.5364222092604214,4.96953072537388,0.8479733747714084,0.3223007313021532,13.903017457160086
15,периоды 1–15 из 23,midas_umidas,531,3.5746976413900984,4.9705304737694584,0.8479122005192566,0.5736565688884949,14.085390879744583
15,периоды 1–15 из 23,seasonal_within,531,3.5696653112774874,5.018995706701091,0.8449318723440042,0.46958647461176883,14.107543752250635
15,периоды 1–15 из 23,midas_almon,531,3.610048630911903,5.079121356275086,0.8411943045655323,0.43878074426802943,14.177670460184736
15,периоды 1–15 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
15,периоды 1–15 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
16,периоды 1–16 из 23,midas_umidas,531,3.536904584607063,4.931852893421523,0.8502698971757302,0.43992697145827836,13.936300046590064
16,периоды 1–16 из 23,midas_beta,531,3.4963188036304,4.935142822490126,0.8500700673226974,0.1534939128382485,13.650473967819831
16,периоды 1–16 из 23,seasonal_within,531,3.5219125810636847,4.960213367111721,0.8485429088894847,0.38902460746062417,13.869862496858948
16,периоды 1–16 из 23,midas_almon,531,3.5618489067761665,4.977731553360791,0.8474712054624244,0.09102883096872656,13.807546035306121
16,периоды 1–16 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
16,периоды 1–16 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
17,периоды 1–17 из 23,midas_beta,531,3.5098846908656505,4.899578804315273,0.8522231553695616,0.28181170167609687,13.806658824133795
17,периоды 1–17 из 23,seasonal_within,531,3.497735540680746,4.914785417461139,0.8513044345388298,0.3389316538116354,13.760765750454027
17,периоды 1–17 из 23,midas_umidas,531,3.5468499514382157,4.956676164530629,0.8487588445171845,0.38899843297237147,13.932586157300944
17,периоды 1–17 из 23,midas_almon,531,3.6044241101059025,5.045790112572373,0.8432717596752611,0.3271043870189891,14.169731557625786
17,периоды 1–17 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
17,периоды 1–17 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
18,периоды 1–18 из 23,seasonal_within,531,3.4918665566400042,4.890983302215697,0.8527412007104733,0.29602580729053907,13.730112370421917
18,периоды 1–18 из 23,midas_beta,531,3.4619839233071485,4.899110826711654,0.8522513834902604,0.23130719013973491,13.570428712704707
18,периоды 1–18 из 23,midas_umidas,531,3.5508777786671843,4.961278506521517,0.8484778551405178,0.3370946544365403,13.924802495288072
18,периоды 1–18 из 23,midas_almon,531,3.6157657271290478,5.064437612671949,0.8421111920520069,0.3785003748994855,14.275823215886518
18,периоды 1–18 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
18,периоды 1–18 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
19,периоды 1–19 из 23,seasonal_within,531,3.5086466469128843,4.88615188997802,0.85303198745818,0.2702683996003751,13.794656976614997
19,периоды 1–19 из 23,midas_beta,531,3.5357562439009973,4.975313098035526,0.8476193831853017,0.2752001081938732,13.83156694199264
19,периоды 1–19 из 23,midas_umidas,531,3.566289456756217,4.9816094339900845,0.8472334590714472,0.39638294188233986,13.983899377761306
19,периоды 1–19 из 23,midas_almon,531,3.5877375146310952,5.053439688233624,0.8427961896280576,0.3951204109000879,14.138448352371691
19,периоды 1–19 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
19,периоды 1–19 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
20,периоды 1–20 из 23,seasonal_within,531,3.553631620634974,4.914301752224625,0.8513336994327984,0.27453423180337316,13.971788619101675
20,периоды 1–20 из 23,midas_beta,531,3.5075814975423345,4.934131226161842,0.8501315257365595,0.1550126399291368,13.710990989231112
20,периоды 1–20 из 23,midas_umidas,531,3.546871891084394,4.95867485646377,0.8486368492877933,0.43737890800204104,13.933693960501142
