year,harvest_true,harvest_pred,harvest_base,ошибка_%,horizon_k
2021,117548.73689100001,129141.84970003927,129807.41128789948,9.86238824479182,12
2022,127484.86680398165,109494.60151236894,108019.5200545532,-14.111686934006219,12
2023,142063.74136352964,138459.1842943949,140083.09476815935,-2.537281529078539,12
2024,123789.40193066876,147787.54902682934,146972.33662458294,19.3862695205534,12
2018,112476.3319,115727.80798755644,118597.33649906293,2.8908091441382178,13
2019,119576.7158,119787.98979599432,121121.46830479633,0.17668489603583915,13
2020,132498.4,134416.02273304557,134457.0211883393,1.4472799166220573,13
2021,117548.73689100001,129761.65473693347,130538.03547364513,10.389663189029585,13
2022,127484.86680398165,109871.2250663204,109097.9668516111,-13.816260846664774,13
2023,142063.74136352964,140434.54147790515,139637.68697719456,-1.1468090801969644,13
2024,123789.40193066876,146495.2723076001,146660.2854128584,18.342337892260208,13
2018,112476.3319,119419.81606176172,119165.71187522647,6.173284676401969,14
2019,119576.7158,119323.5949710418,120673.75627404543,-0.21168069992953953,14
2020,132498.4,135207.86110233513,133978.52080521337,2.044900996793264,14
2021,117548.73689100001,129489.65725502526,130870.97300727337,10.15827194731813,14
2022,127484.86680398165,112004.85176208073,110408.04051638272,-12.14262949790167,14
2023,142063.74136352964,143362.94303473036,139754.28479081715,0.914520241921668,14
2024,123789.40193066876,146808.82113197533,146396.5225846857,18.595630031558883,14
2018,112476.3319,115721.21010947741,119759.51690062205,2.8849431295131067,15
2019,119576.7158,119124.48050431308,119950.6693487284,-0.37819678577167837,15
2020,132498.4,133717.44277212856,132965.12844524827,0.9200433908096661,15
2021,117548.73689100001,129167.44081360729,130788.61309560487,9.884158885842398,15
2022,127484.86680398165,108549.6157096825,109533.4441173291,-14.852940250087599,15
2023,142063.74136352964,140758.85261510836,140382.4704879255,-0.9185234289178501,15
2024,123789.40193066876,146284.88397896956,146196.7319251986,18.17238123575389,15
2018,112476.3319,118712.31398135403,119907.10194028864,5.544261602430534,16
2019,119576.7158,117311.64169053857,119009.29962442609,-1.89424345225363,16
2020,132498.4,131382.3244925574,132016.9249914719,-0.8423313092403961,16
2021,117548.73689100001,127206.32264318952,130062.06641135609,8.215814144514999,16
2022,127484.86680398165,108550.34046502502,109468.56844802553,-14.852371747048231,16
2023,142063.74136352964,142592.8662340169,140967.14333941927,0.37245595914108254,16
2024,123789.40193066876,145569.58404678872,145665.48203722376,17.594545071248092,16
